nom,diplome,statut,ville,nombre_etoiles,nombre_commentaires,classement,mention,specialite,adresse,taux_reussite_bac,taux_mentions_bac,effectifs_terminale,classement_lycees_generaux_technos,classement_lycees_pros
Lycée Jean-Baptiste Delambre,Public,Général,Amiens,2.1,(10),8.0,45.0,10.0,Amiens 3 rue Montaigne Cité scolaire 80080 Amiens,85.0,45.0,145.0,13.6,6.2
Lycée Boucher de Perthes,Public,Général,Abbeville,3.2,(10),6.0,53.0,12.0,Abbeville 1 rue Paul Delique 80120 Abbeville,94.0,53.0,378.0,14.6,12.4
Lycée polyvalent Charles Mangin,Public,Polyvalent,Sarrebourg,3.4,(9),10.0,62.0,8.0,Sarrebourg 34 rue Gambetta 57400 Sarrebourg,95.0,62.0,332.0,14.2,16.0
Lycée des métiers du tertiaire Jean-Victor Poncelet,Public,Polyvalent,Saint-Avold,3.5,(13),9.0,58.0,10.0,Saint-Avold 11 rue des Anglais 57500 Saint-Avold,93.0,58.0,421.0,13.3,16.1
Lycée général et technologique Jean Zay,Public,Général,Thiers,3.5,(4),13.0,59.0,4.0,Thiers 21 rue JEAN ZAY 63300 Thiers,97.0,59.0,85.0,9.8,12.5
Lycée polyvalent François Rabelais,Public,Polyvalent,Fontenay-le-Comte,2.4,(12),2.0,58.0,9.0,Fontenay-le-Comte 45 rue RABELAIS BP 289 85205 Fontenay-le-Comte,96.0,58.0,255.0,13.3,16.5
Lycée Jean Rostand,Public,Général,Chantilly,3.2,(20),21.0,58.0,11.0,Chantilly 2 place Georges Paquier BP 60329 60634 Chantilly,96.0,58.0,361.0,13.9,13.2
Lycée polyvalent Charles de Gaulle,Public,Polyvalent,Compiègne,2.9,(9),31.0,53.0,10.0,Compiègne rue Jacques Daguerre CS 50047 60321 Compiègne,88.0,53.0,271.0,10.8,7.6
Lycée Saint-Joseph du Moncel,Privé,Général,Pont-Sainte-Maxence,3.6,(9),26.0,81.0,8.0,Pont-Sainte-Maxence 8 place de l'Eglise BP 50249 60722 Pont-Sainte-Maxence,99.0,81.0,131.0,12.4,13.1
Lycée Montalembert,Privé,Général,Doullens,3.8,(18),7.0,76.0,8.0,Doullens 3 route d'Amiens BP 63 80600 Doullens,100.0,76.0,46.0,13.7,9.9
Lycée André Malraux,Public,Général,Montataire,3.9,(13),23.0,48.0,10.0,Montataire 1 place Nelson Mandela BP 159 60761 Montataire cedex,91.0,48.0,225.0,13.4,11.8
Lycée polyvalent Paul Langevin,Public,Polyvalent,Beauvais,3.2,(21),30.0,48.0,10.0,Beauvais 3 avenue Montaigne BP 60954 60009 Beauvais,86.0,48.0,424.0,11.2,9.2
Lycée général et technologique Saint-Joseph de Cluny,Privé,Général,Fort-de-France,4.0,(7),16.0,78.0,7.0,Fort-de-France 22 route de Cluny 97200 Fort-de-France,100.0,78.0,167.0,12.9,12.3
Lycée Élie Vinet,Public,Général,Barbezieux-Saint-Hilaire,4.0,(14),1.0,53.0,11.0,Barbezieux-Saint-Hilaire 7 avenue Pierre Mendès France 16300 Barbezieux-Saint-Hilaire,94.0,53.0,163.0,15.2,14.7
Lycée polyvalent Sainte-Ursule,Privé,Polyvalent,Luçon,4.4,(8),1.0,69.0,7.0,Luçon 5 place du Petit Champ de Foire BP 329 85403 Luçon,99.0,69.0,119.0,16.8,14.4
Lycée des métiers des sciences et des technologies de l'information et des réseaux Condorcet,Public,Polyvalent,Schoeneck,3.9,(12),5.0,51.0,5.0,Schoeneck Rue de l'Etang BP 80506 57354 Schoeneck,95.0,51.0,188.0,15.7,17.1
Lycée et section d'enseignement professionnel Henri Avril,Public,Polyvalent,Lamballe-Armor,3.4,(10),7.0,61.0,9.0,Lamballe-Armor 7 et 9 rue de Dinard BP 40219 22402 Lamballe-Armor,95.0,61.0,378.0,15.2,11.0
Lycée polyvalent Pierre-Joël Bonté,Public,Polyvalent,Riom,3.7,(16),11.0,52.0,4.0,Riom 2 avenue Averroes BP 10034 63200 Riom,85.0,52.0,273.0,13.1,9.5
Lycée polyvalent Alfred Kastler,Public,Polyvalent,Stenay,1.8,(11),6.0,51.0,8.0,Stenay 1 rue de Münnerstadt 55700 Stenay,90.0,51.0,96.0,12.4,14.6
Lycée Saint-Antoine,Privé,Général,Phalsbourg,3.0,(20),4.0,83.0,7.0,Phalsbourg CHEMIN DES DAMES 57370 Phalsbourg,100.0,83.0,72.0,17.2,5.0
Lycée polyvalent Louis Casimir Teyssier,Public,Polyvalent,Bitche,3.0,(12),2.0,76.0,7.0,Bitche 23 rue Schellenthal 57230 Bitche,96.0,76.0,183.0,17.5,14.6
Lycée et section d'enseignement professionnel Kerraoul,Public,Polyvalent,Paimpol,3.6,(7),3.0,71.0,7.0,Paimpol avenue Gabriel le Bras BP 93 22502 Paimpol,98.0,71.0,146.0,13.4,16.7
Lycée polyvalent Fernand Renaudeau - site du lycée de la Mode,Public,Polyvalent,Cholet,3.9,(15),7.0,70.0,10.0,Cholet 20 rue Carteron BP 2124 49321 Cholet,97.0,70.0,358.0,13.0,15.7
Lycée Rabelais,Public,Général,Saint-Brieuc,3.8,(17),8.0,63.0,8.0,Saint-Brieuc 8 rue Rabelais BP 2255 22022 Saint-Brieuc cedex 1,97.0,63.0,257.0,10.5,15.2
Lycée Marie Curie,Public,Général,Nogent-sur-Oise,3.6,(18),14.0,61.0,8.0,Nogent-sur-Oise 47 boulevard Pierre de Coubertin 60180 Nogent-sur-Oise,93.0,61.0,450.0,14.6,12.3
Lycée polyvalent Joseph Zobel,Public,Polyvalent,Rivière-Salée,3.6,(15),15.0,49.0,11.0,Rivière-Salée Quartier Thoraille BP 38 97215 Rivière-Salée,90.0,49.0,267.0,11.9,13.1
Lycée polyvalent la Jetée,Public,Polyvalent,Le François,4.0,(7),13.0,52.0,10.0,Le François Route de la Jetée Cité scolaire 97240 Le François,90.0,52.0,225.0,13.3,11.7
Lycée polyvalent Henri Vogt,Public,Polyvalent,Commercy,3.6,(5),2.0,54.0,8.0,Commercy 12 rue André Malraux BP 10109 55200 Commercy,89.0,54.0,225.0,11.1,15.3
Lycée Saint-Joseph,Privé,Général,Châteaubriant,3.2,(13),4.0,56.0,8.0,Châteaubriant 13 A rue de la Libération CS 80039 44141 Châteaubriant,99.0,56.0,123.0,15.9,17.0
Lycée Auguste et Jean Renoir,Public,Général,Angers,3.8,(12),3.0,59.0,10.0,Angers 15 impasse Ampère BP 53512 49035 Angers,95.0,59.0,301.0,16.3,7.1
Lycée Pierre d'Ailly,Public,Général,Compiègne,3.5,(18),12.0,70.0,13.0,Compiègne 136 boulevard des Etats-Unis BP 90015 60321 Compiègne,96.0,70.0,413.0,14.0,15.0
Lycée polyvalent La Fayette,Public,Polyvalent,Clermont-Ferrand,3.0,(11),5.0,62.0,5.0,"Clermont-Ferrand 21 boulevard Robert Schuman La Pardieu , BP 90053 63064 Clermont-Ferrand",91.0,62.0,338.0,11.5,14.1
Lycée Félix Faure,Public,Général,Beauvais,4.0,(10),11.0,61.0,9.0,Beauvais 31 boulevard de l'Assaut 60000 Beauvais,97.0,61.0,389.0,15.0,9.4
Lycée général et technologique Acajou 1,Public,Général,Le Lamentin,2.7,(8),11.0,37.0,9.0,Le Lamentin Acajou BP 437 97285 Le Lamentin,97.0,37.0,73.0,13.4,11.1
Lycée polyvalent Julien Gracq,Public,Polyvalent,Beaupréau-en-Mauges,2.7,(10),1.0,65.0,9.0,Beaupréau-en-Mauges route de l'hippodrome BP 60013 49601 Beaupréau-en-Mauges,95.0,65.0,164.0,14.1,17.8
Lycée polyvalent Blaise Pascal,Public,Polyvalent,Ambert,3.6,(5),1.0,76.0,8.0,Ambert 23 rue Blaise Pascal BP 65 63600 Ambert,98.0,76.0,141.0,16.0,15.6
Lycée Edmé Bouchardon,Public,Général,Chaumont,3.6,(5),9.0,51.0,9.0,Chaumont 16 rue Youri Gagarine BP 2085 52903 Chaumont,92.0,51.0,227.0,12.5,9.7
Lycée polyvalent Diderot,Public,Polyvalent,Langres,3.7,(20),8.0,61.0,11.0,Langres 21 avenue du Gal de Gaulle BP 195 52206 Langres,94.0,61.0,217.0,13.2,9.8
Lycée Sévigné,Privé,Général,Compiègne,3.7,(5),6.0,47.0,10.0,Compiègne 20 rue de la Sous-Préfecture 60200 Compiègne,89.0,47.0,45.0,11.9,15.8
Lycée Philippe Lebon,Public,Général,Joinville,3.9,(7),7.0,47.0,7.0,Joinville 11 rue de Sprendlingen BP 16 52300 Joinville,85.0,47.0,118.0,13.3,11.3
Lycée polyvalent Charles de Gaulle,Public,Polyvalent,Chaumont,3.5,(5),5.0,75.0,8.0,Chaumont Avenue Christian Pineau BP 2067 52903 Chaumont,96.0,75.0,160.0,13.5,14.1
Lycée polyvalent Olympe de Gouges,Public,Polyvalent,Montech,2.8,(8),6.0,54.0,9.0,Montech 720 impasse Lacoste 82700 Montech,93.0,54.0,259.0,11.5,10.3
Lycée polyvalent Antoine Bourdelle,Public,Polyvalent,Montauban,2.9,(14),5.0,51.0,10.0,Montauban 3 boulevard Edouard Herriot BP 373 82003 Montauban,89.0,51.0,718.0,11.1,13.1
Lycée Jacques Prévert,Public,Général,Savenay,3.2,(19),1.0,65.0,10.0,Savenay 17 rue Joseph Malegue 44260 Savenay,97.0,65.0,320.0,15.8,18.2
Lycée polyvalent Acajou II,Public,Polyvalent,Le Lamentin,3.6,(8),7.0,53.0,10.0,Le Lamentin Quartier ACAJOU 97232 Le Lamentin,92.0,53.0,235.0,14.6,5.9
Lycée polyvalent Claude Nougaro,Public,Polyvalent,Monteils,3.3,(15),9.0,49.0,10.0,Monteils 376 avenue des Lumières BP 97 82300 Monteils,89.0,49.0,253.0,10.4,10.1
Lycée polyvalent du Nord Caraïbe,Public,Polyvalent,Bellefontaine,4.0,(13),5.0,53.0,7.0,Bellefontaine BELLEFONTAINE Quartier Cheval Blanc 97222 Bellefontaine,93.0,53.0,135.0,12.5,14.8
Lycée polyvalent du Nord Atlantique,Public,Polyvalent,Sainte-Marie,3.2,(19),4.0,55.0,7.0,Sainte-Marie Boulevard de la Voie Lactée 97230 Sainte-Marie,91.0,55.0,96.0,15.5,10.7
Lycée polyvalent adventiste Rama,Privé,Polyvalent,Sainte-Luce,3.6,(11),3.0,67.0,7.0,Sainte-Luce Monésie Cité scolaire adventiste Rama 97228 Sainte-Luce,99.0,67.0,120.0,15.7,14.4
Lycée polyvalent de l'AMEP,Privé,Polyvalent,Fort-de-France,3.2,(11),2.0,39.0,7.0,Fort-de-France 183 route de Redoute BP 415 97204 Fort-de-France,93.0,39.0,60.0,9.0,17.3
Lycée général et technologique privé Pierre Marie Théas,Privé,Général,Montauban,3.6,(14),1.0,86.0,12.0,Montauban rue Marie-Rose Gineste CS 20545 82000 Montauban,100.0,86.0,228.0,11.2,15.4
Lycée Younoussa Bamana,Public,Général,Mamoudzou,4.3,(4),1.0,24.0,9.0,Mamoudzou BP 46 97600 Mamoudzou,78.0,24.0,814.0,13.4,8.3
Lycée général François Mitterrand,Public,Général,Moissac,3.5,(8),4.0,71.0,8.0,Moissac bd du Lycée BP 306 82201 Moissac,94.0,71.0,147.0,13.6,13.9
Lycée général et technologique Paulette Nardal (Ex Centre Sud),Public,Général,Ducos,3.5,(8),6.0,57.0,9.0,Ducos Quartier Vaudrancourt BP 94 97224 Ducos,97.0,57.0,229.0,14.7,10.5
Lycée polyvalent Jean de Prades,Public,Polyvalent,Castelsarrasin,3.1,(11),3.0,55.0,8.0,Castelsarrasin route de Toulouse BP 80 82102 Castelsarrasin,91.0,55.0,203.0,9.7,14.2
Lycée Antoine de Saint-Exupéry,Public,Polyvalent,Parentis-en-Born,3.6,(13),10.0,54.0,12.0,Parentis-en-Born 13 avenue du Lycée BP 44 40160 Parentis-en-Born,91.0,54.0,393.0,12.5,6.7
Lycée polyvalent privé Saint-André,Privé,Polyvalent,Niort,3.5,(24),4.0,74.0,10.0,Niort 14 rue de Souché BP 229 79007 Niort,98.0,74.0,412.0,14.6,12.4
Lycée polyvalent Victor Anicet,Public,Polyvalent,Saint-Pierre,4.7,(12),1.0,67.0,5.0,Saint-Pierre Quartier Saint James BP 39 97250 Saint-Pierre,99.0,67.0,87.0,15.9,18.8
Lycée Jules Ferry,Public,Général,Cannes,3.8,(26),1.0,72.0,5.0,Cannes 82 boulevard de la République CS 30042 06414 Cannes,96.0,72.0,284.0,9.2,17.1
