nom,diplome,statut,ville,nombre_etoiles,nombre_commentaires,classement,mention,specialite,adresse,taux_reussite_bac,taux_mentions_bac,effectifs_terminale,classement_lycees_generaux_technos,classement_lycees_pros
Lycée polyvalent Jan Lavezzari,Public,Polyvalent,Berck,3.2,(10),19.0,60.0,9.0,Berck Avenue du Phare BP 69 62602 Berck,98.0,60.0,227.0,14.1,14.7
Lycée de l'Arc,Public,Général,Orange,3.1,(14),14.0,59.0,11.0,Orange 346 avenue des Etudiants BP 189 84106 Orange,96.0,59.0,351.0,13.6,13.1
Lycée polyvalent Pierre Lagourgue,Public,Polyvalent,Le Tampon,3.8,(8),20.0,70.0,10.0,Le Tampon 30 Chemin Mazeau Trois Mares 97430 Le Tampon,95.0,70.0,225.0,13.6,9.6
Lycée polyvalent Pyrène,Public,Polyvalent,Pamiers,3.8,(17),1.0,60.0,12.0,Pamiers place du Mercadal BP 30178 09104 Pamiers cedex,94.0,60.0,392.0,12.2,15.3
Lycée Alphonse Benoît,Public,Polyvalent,L'Isle-sur-la-Sorgue,3.6,(7),18.0,67.0,11.0,L'Isle-sur-la-Sorgue Cours Victor Hugo BP 118 84803 L'Isle-sur-la-Sorgue,92.0,67.0,297.0,12.4,13.1
Lycée général et technologique du Couserans,Public,Général,Saint-Girons,3.0,(9),7.0,63.0,8.0,Saint-Girons Esplanade Pierre Mendès France BP 113 09201 Saint-Girons,96.0,63.0,119.0,11.9,9.4
Lycée Anatole France,Public,Général,Lillers,3.0,(13),18.0,65.0,9.0,Lillers 64 boulevard de Paris BP 49 62190 Lillers,95.0,65.0,220.0,11.6,14.7
Lycée Louis Blaringhem,Public,Général,Béthune,3.7,(11),17.0,70.0,12.0,Béthune Boulevard Victor Hugo BP 812 62408 Béthune,95.0,70.0,406.0,14.8,14.4
Lycée polyvalent Louis Marchal,Public,Polyvalent,Molsheim,2.8,(10),30.0,54.0,10.0,Molsheim 2 route industrielle de la Hardt BP 42056 67125 Molsheim,89.0,54.0,209.0,13.0,8.6
Lycée Sévigné,Public,Général,Charleville-Mézières,3.2,(6),10.0,52.0,17.0,Charleville-Mézières 14 rue Mme de Sévigné 08013 Charleville-Mézières,90.0,52.0,280.0,11.7,12.3
Lycée polyvalent Jean Joly,Public,Polyvalent,Saint-Louis,3.5,(8),39.0,55.0,10.0,Saint-Louis 2 chemin la Ouette 97421 Saint-Louis,94.0,55.0,274.0,11.5,9.1
Lycée Mémona Hintermann-Afféjee,Public,Polyvalent,Saint-Denis,3.2,(2),38.0,48.0,10.0,Saint-Denis 1 rue des franciscéas BP 50136 97491 Saint-Denis,91.0,48.0,341.0,11.0,11.6
Lycée polyvalent Roland Garros,Public,Polyvalent,Le Tampon,3.9,(13),37.0,56.0,14.0,Le Tampon Rue Roland Garros CS 11008 97831 Le Tampon,90.0,56.0,587.0,11.8,10.0
Lycée polyvalent de Saint-Paul IV,Public,Polyvalent,Saint-Paul,3.5,(15),35.0,49.0,9.0,Saint-Paul 363 route de Savannah BP 20 97411 Saint-Paul,92.0,49.0,265.0,11.9,6.8
Lycée polyvalent Stella,Public,Polyvalent,Saint-Leu,3.6,(13),24.0,62.0,9.0,Saint-Leu Chemin départemental 11 BP 17 97424 Saint-Leu,92.0,62.0,276.0,13.1,9.0
Lycée polyvalent Paul Moreau,Public,Polyvalent,Bras-Panon,3.5,(5),34.0,50.0,10.0,Bras-Panon 51 chemin Bras Panon BP 67 97412 Bras-Panon,89.0,50.0,204.0,12.0,11.2
Lycée polyvalent Antoine de Saint-Exupéry,Public,Polyvalent,Les Avirons,2.7,(12),33.0,63.0,7.0,Les Avirons 20 rue du lycée BP 28 97425 Les Avirons,90.0,63.0,323.0,12.6,9.2
Lycée polyvalent Boisjoly Potier,Public,Polyvalent,Le Tampon,2.9,(13),31.0,49.0,11.0,Le Tampon 1 rue Ignaz Pleyel CS 91007 97839 Le Tampon,90.0,49.0,347.0,11.0,12.6
Lycée polyvalent Moulin Joli,Public,Polyvalent,La Possession,2.9,(3),25.0,58.0,9.0,La Possession 60 rue Mahatma Gandhi 97419 La Possession,95.0,58.0,365.0,12.9,9.1
Lycée polyvalent Georges Brassens,Public,Polyvalent,Saint-Denis,3.7,(4),23.0,58.0,9.0,Saint-Denis 16 avenue Georges Brassens BP 253 97493 Saint-Denis,90.0,58.0,291.0,13.2,12.7
Lycée général et technologique Pierre Poivre,Public,Général,Saint-Joseph,2.0,(1),45.0,60.0,13.0,Saint-Joseph 35 rue Hippolyte Foucque BP 7 97480 Saint-Joseph,94.0,60.0,231.0,10.0,9.7
Lycée Victor Louis,Public,Polyvalent,Talence,3.2,(23),66.0,54.0,10.0,Talence 2 avenue DE THOUARS 33405 Talence,86.0,54.0,513.0,9.4,4.4
Lycée général et technologique Lislet Geoffroy,Public,Général,Saint-Denis,2.3,(3),46.0,52.0,15.0,"Saint-Denis 15 rue Christol de Sigoyer Cité scolaire du Butor, BP 50002 97491 Saint-Denis",94.0,52.0,256.0,8.5,7.9
Lycée polyvalent Bel Air,Public,Polyvalent,Sainte-Suzanne,2.9,(5),41.0,54.0,11.0,Sainte-Suzanne 2 rue du lycée BP 43 97441 Sainte-Suzanne,88.0,54.0,184.0,11.3,9.4
Lycée Václav Havel,Public,Polyvalent,Bègles,4.6,(3),54.0,63.0,10.0,Bègles 5 avenue Danielle Mitterrand BP 154 33130 Bègles,94.0,63.0,423.0,10.8,10.2
Lycée les Iris,Public,Polyvalent,Lormont,3.3,(22),52.0,59.0,8.0,Lormont 13 rue Saint-Cricq BP 69 33305 Lormont,93.0,59.0,364.0,11.0,9.7
Lycée polyvalent de la mer,Public,Polyvalent,Gujan-Mestras,3.1,(13),45.0,65.0,9.0,Gujan-Mestras Port de la Barbotière 33470 Gujan-Mestras,93.0,65.0,361.0,11.3,9.2
Lycée polyvalent Marie Curie,Public,Polyvalent,Saint-Benoît,2.9,(19),43.0,48.0,9.0,Saint-Benoît 81 Rue Roger Dijoux BP 126 97437 Saint-Benoît,90.0,48.0,195.0,10.2,10.4
Lycée Jaufré Rudel,Public,Général,Blaye,2.4,(17),34.0,49.0,11.0,Blaye 2 rue Urbain Chasseloup BP 70 33394 Blaye,91.0,49.0,294.0,12.0,7.5
Lycée Kléber,Public,Général,Strasbourg,3.7,(17),38.0,64.0,10.0,Strasbourg 25 place de Bordeaux CS 40017 67082 Strasbourg,96.0,64.0,418.0,11.2,11.5
Lycée Edouard Schuré,Public,Général,Barr,4.2,(6),32.0,72.0,8.0,Barr 2 rue du Lycée BP 50066 67142 Barr,98.0,72.0,131.0,12.7,4.0
Lycée privé Notre-Dame,Privé,Général,Bordeaux,2.3,(12),28.0,43.0,8.0,Bordeaux 13 rue Castéja 33000 Bordeaux,97.0,43.0,39.0,11.6,12.6
Lycée privé de la Sauque,Privé,Général,La Brède,3.9,(44),27.0,83.0,9.0,La Brède 2 avenue de la Sauque 33650 La Brède,99.0,83.0,197.0,10.9,12.7
Lycée polyvalent Jean Baptiste Schwilgué,Public,Polyvalent,Sélestat,3.6,(10),34.0,54.0,9.0,Sélestat 8 avenue Adrien Zeller BP 70209 67604 Sélestat,89.0,54.0,309.0,12.1,8.1
Lycée polyvalent Jean Monnet,Public,Polyvalent,Libourne,2.8,(11),29.0,49.0,9.0,Libourne 40 avenue Henri Brulle BP 249 33505 Libourne,88.0,49.0,198.0,9.8,12.5
Lycée privé Saint-Joseph de Tivoli,Privé,Général,Bordeaux,3.5,(21),26.0,82.0,9.0,Bordeaux 40 avenue d'Eysines 33073 Bordeaux,99.0,82.0,243.0,12.3,12.7
Lycée polyvalent Jean Rostand,Public,Polyvalent,Strasbourg,3.5,(27),29.0,57.0,6.0,Strasbourg 5 rue Edmond Labbé 67084 Strasbourg,89.0,57.0,551.0,12.1,13.0
Lycée privé Notre Dame,Privé,Général,Strasbourg,3.8,(12),46.0,86.0,9.0,Strasbourg 6 rue des Bonnes Gens 67082 Strasbourg,99.0,86.0,169.0,10.1,10.8
Lycée polyvalent Louis Couffignal,Public,Polyvalent,Strasbourg,2.8,(8),28.0,49.0,10.0,Strasbourg 11 route de la Fédération BP 70149 67025 Strasbourg,83.0,49.0,265.0,8.6,13.0
Lycée polyvalent Marcel Rudloff,Public,Polyvalent,Strasbourg,3.2,(19),42.0,47.0,9.0,Strasbourg 21 avenue François Mitterrand Quartier des Poteries 67200 Strasbourg,84.0,47.0,378.0,11.0,9.3
Lycée Marie Curie,Public,Général,Strasbourg,2.9,(20),24.0,51.0,11.0,Strasbourg 7 rue de Leicester 67083 Strasbourg,91.0,51.0,264.0,11.3,13.2
Lycée polyvalent Gustave Eiffel,Public,Polyvalent,Bordeaux,3.5,(58),23.0,68.0,10.0,Bordeaux 143 cours de la Marne CS 31237 33074 Bordeaux cedex,97.0,68.0,639.0,12.9,13.0
Lycée polyvalent Jean Moulin,Public,Polyvalent,Revin,3.5,(15),16.0,41.0,7.0,Revin 996 avenue de la Cité Scolaire BP 24 08501 Revin,81.0,41.0,122.0,8.6,9.0
Lycée Marie Pila,Privé,Général,Carpentras,3.5,(25),17.0,89.0,9.0,Carpentras 105 rue Duplessis 84200 Carpentras,100.0,89.0,183.0,12.3,13.3
Lycée Hippolyte Fontaine,Public,Polyvalent,Dijon,2.7,(17),20.0,46.0,12.0,Dijon 20 boulevard Voltaire BP 1512 21033 Dijon,85.0,46.0,312.0,8.2,11.1
Lycée Jean-Henri Fabre,Public,Polyvalent,Carpentras,3.6,(8),16.0,60.0,12.0,Carpentras 387 avenue du Mont Ventoux BP 272 84208 Carpentras,95.0,60.0,315.0,13.4,11.8
Lycée Condorcet,Public,Général,Lens,2.9,(10),21.0,48.0,8.0,Lens 25 rue Etienne Dolet BP 169 62303 Lens cedex,88.0,48.0,240.0,14.4,8.1
Lycée privé Les Arcades,Privé,Polyvalent,Dijon,3.1,(28),17.0,46.0,9.0,Dijon 13 rue du Vieux Collège BP 61830 21018 Dijon cedex,92.0,46.0,337.0,8.6,11.8
Lycée polyvalent Louis Pasteur,Public,Polyvalent,Hénin-Beaumont,3.7,(8),30.0,51.0,9.0,Hénin-Beaumont 800 rue Léon Blum BP 19 62251 Hénin-Beaumont cedex,87.0,51.0,276.0,13.4,8.3
Lycée polyvalent de Mirepoix,Public,Polyvalent,Mirepoix,2.9,(8),3.0,55.0,12.0,Mirepoix Route DE LIMOUX 09500 Mirepoix,94.0,55.0,144.0,13.3,13.0
Lycée Frédéric Mistral,Public,Général,Avignon,3.8,(15),21.0,62.0,15.0,Avignon 37 rue d'Annanelle 84000 Avignon,98.0,62.0,297.0,12.3,11.0
Lycée privé La Malassise,Privé,Général,Longuenesse,3.8,(40),35.0,94.0,8.0,Longuenesse Pensionnat Saint Joseph BP 30089 62968 Longuenesse,100.0,94.0,192.0,13.2,10.4
Lycée polyvalent Edouard Branly,Public,Polyvalent,Boulogne-sur-Mer,4.3,(5),31.0,61.0,10.0,Boulogne-sur-Mer 2 rue de la Porte Gayole BP 779 62321 Boulogne-sur-Mer,91.0,61.0,336.0,12.8,13.3
Lycée Auguste Béhal,Public,Général,Lens,2.4,(11),41.0,40.0,8.0,Lens 6 rue Paul Eluard 62300 Lens,85.0,40.0,184.0,12.4,12.6
Lycée polyvalent Carnot,Public,Polyvalent,Bruay-la-Buissière,3.9,(8),33.0,55.0,10.0,Bruay-la-Buissière 1 rue Sadi Carnot BP 50 62701 Bruay-la-Buissière cedex,91.0,55.0,442.0,13.2,10.2
Lycée Albert Châtelet,Public,Général,Saint-Pol-sur-Ternoise,3.7,(10),56.0,60.0,11.0,Saint-Pol-sur-Ternoise 15 Rue Cassin BP 70050 62165 Saint-Pol-sur-Ternoise,97.0,60.0,285.0,8.2,11.1
Lycée polyvalent Marguerite Yourcenar,Public,Polyvalent,Beuvry,3.9,(9),53.0,49.0,8.0,Beuvry 68 rue Antoine de Saint-Exupéry BP 35 62660 Beuvry,87.0,49.0,283.0,8.4,11.3
Lycée polyvalent Eugène Woillez,Public,Polyvalent,Montreuil,3.7,(18),48.0,55.0,10.0,Montreuil 1 RUE PORTE BECQUERELLE 62170 Montreuil,92.0,55.0,410.0,12.1,7.3
Lycée polyvalent d'Artois,Public,Polyvalent,Noeux-les-Mines,3.3,(5),47.0,47.0,9.0,Noeux-les-Mines rue Jules Mousseron BP 35 62290 Noeux-les-Mines,87.0,47.0,303.0,12.1,10.3
Lycée polyvalent Léonard de Vinci,Public,Polyvalent,Calais,3.4,(7),24.0,57.0,12.0,Calais Rue du Pasteur Martin Luther King BP 701 62228 Calais,93.0,57.0,294.0,14.1,9.6
Lycée Lucie Aubrac,Public,Général,Bollène,3.9,(11),22.0,62.0,10.0,Bollène 224 avenue Ernest Laffont 84500 Bollène,95.0,62.0,197.0,9.3,10.8
Lycée polyvalent François Bazin,Public,Polyvalent,Charleville-Mézières,3.5,(4),11.0,51.0,15.0,Charleville-Mézières 145 avenue Charles de Gaulle 08013 Charleville-Mézières,88.0,51.0,161.0,9.8,12.2
Lycée et campus Saint-Joseph,Privé,Polyvalent,Saint-Martin-Boulogne,4.1,(4),26.0,56.0,5.0,Saint-Martin-Boulogne 26 - 30 route de Calais 62280 Saint-Martin-Boulogne,97.0,56.0,230.0,13.8,13.5
Lycée Fernand Darchicourt,Public,Général,Hénin-Beaumont,2.6,(20),23.0,49.0,13.0,Hénin-Beaumont 211 rue René Cassin BP 49 62251 Hénin-Beaumont cedex,89.0,49.0,502.0,14.1,9.7
Lycée Fernand Daguin,Public,Général,Mérignac,2.8,(25),19.0,59.0,10.0,Mérignac 15 rue Gustave Flaubert CS 60265 33698 Mérignac cedex,93.0,59.0,565.0,11.8,13.4
Lycée Élie Faure,Public,Général,Lormont,3.0,(27),17.0,44.0,10.0,Lormont 63 avenue de la Libération BP 90 33305 Lormont,90.0,44.0,311.0,13.6,10.1
Lycée polyvalent Le Mans sud,Public,Polyvalent,Le Mans,2.9,(22),18.0,45.0,11.0,Le Mans 128 rue Henri Champion 72058 Le Mans,88.0,45.0,441.0,8.7,11.6
Lycée Prieur de la Côte-d'Or,Public,Polyvalent,Auxonne,3.5,(8),14.0,54.0,10.0,Auxonne 6 rue Vauban 21130 Auxonne,94.0,54.0,205.0,12.4,12.6
Lycée polyvalent Georges Braque - Lycée des métiers de l'intelligence économique et du management,Public,Polyvalent,Argenteuil,3.0,(15),19.0,43.0,7.0,Argenteuil 21 rue Victor Puiseux 95100 Argenteuil,86.0,43.0,420.0,14.7,12.5
Ensemble Baudimont,Privé,Polyvalent,Arras,3.9,(20),16.0,75.0,12.0,Arras 32 rue Baudimont 62000 Arras,98.0,75.0,468.0,14.8,11.6
Lycée Pape Clément,Public,Général,Pessac,3.4,(17),18.0,66.0,11.0,Pessac 1 rue Léo Lagrange BP 90 33605 Pessac cedex,95.0,66.0,479.0,13.6,12.5
Lycée Charles de Gaulle,Public,Polyvalent,Apt,3.4,(18),12.0,57.0,9.0,Apt 104 place Charles de Gaulle BP 149 84405 Apt,92.0,57.0,214.0,13.9,13.2
Lycée Victor Hugo,Public,Polyvalent,Carpentras,3.6,(14),10.0,59.0,12.0,Carpentras 139 avenue Victor Hugo BP 273 84208 Carpentras,93.0,59.0,441.0,14.6,12.3
Lycée polyvalent Paul Verlaine,Public,Polyvalent,Rethel,3.8,(9),7.0,55.0,9.0,Rethel 19 Rue Normandie Niemen BP 5134 08305 Rethel,92.0,55.0,251.0,13.0,9.6
Lycée polyvalent Jean Perrin,Public,Polyvalent,Saint-Ouen-l'Aumône,2.7,(13),21.0,53.0,5.0,Saint-Ouen-l'Aumône 2 rue des Egalisses 95310 Saint-Ouen-l'Aumône,86.0,53.0,264.0,14.5,8.8
Lycée polyvalent Robert Garnier,Public,Polyvalent,La Ferté-Bernard,3.2,(12),17.0,51.0,9.0,La Ferté-Bernard Avenue du Général de Gaulle BP 110 72405 La Ferté-Bernard,86.0,51.0,350.0,11.8,9.5
Lycée Parc de Vilgénis,Public,Polyvalent,Massy,3.4,(11),40.0,51.0,9.0,Massy 80 rue de Versailles BP 112 91300 Massy,87.0,51.0,515.0,12.2,9.2
Lycée René Cassin,Public,Général,Arpajon,3.8,(22),37.0,65.0,11.0,Arpajon 17 rue Jean Moulin 91290 Arpajon,98.0,65.0,453.0,10.2,12.9
Lycée Marie Laurencin,Public,Polyvalent,Mennecy,3.2,(14),34.0,58.0,9.0,Mennecy 51 rue Paul Cézanne BP 56 91542 Mennecy,93.0,58.0,408.0,13.0,13.0
Lycée Camille Claudel,Public,Polyvalent,Vauréal,3.5,(33),39.0,60.0,11.0,Vauréal 4 avenue Federico Garcia Lorca 95490 Vauréal,93.0,60.0,360.0,10.8,12.9
Lycée Val de Durance,Public,Polyvalent,Pertuis,3.5,(23),9.0,66.0,10.0,Pertuis Route de l'étang de la Bonde BP 95 84123 Pertuis,96.0,66.0,393.0,14.6,12.4
Lycée Robert Doisneau,Public,Polyvalent,Corbeil-Essonnes,3.8,(13),33.0,52.0,14.0,Corbeil-Essonnes 89 avenue Serge Dassault 91813 Corbeil-Essonnes,86.0,52.0,727.0,13.1,9.4
Lycée Jean Pierre Timbaud,Public,Polyvalent,Brétigny-sur-Orge,3.1,(17),32.0,43.0,8.0,Brétigny-sur-Orge 4 rue Henri Douard 91220 Brétigny-sur-Orge,85.0,43.0,501.0,13.3,4.6
Lycée Monge,Public,Général,Charleville-Mézières,2.6,(8),6.0,40.0,15.0,Charleville-Mézières 2 avenue DE SAINT JULIEN 08000 Charleville-Mézières,77.0,40.0,141.0,11.8,13.9
Lycée polyvalent Henri Poincaré,Public,Polyvalent,Palaiseau,2.9,(11),28.0,57.0,6.0,Palaiseau 36 rue Léon Bourgeois BP 59 91120 Palaiseau,92.0,57.0,265.0,13.7,12.8
Lycée Evariste Galois,Public,Polyvalent,Beaumont-sur-Oise,3.1,(11),43.0,49.0,8.0,Beaumont-sur-Oise 14 boulevard Léon Blum 95260 Beaumont-sur-Oise,87.0,49.0,370.0,12.0,9.6
Lycée Gaspard Monge,Public,Polyvalent,Savigny-sur-Orge,3.1,(13),35.0,49.0,7.0,Savigny-sur-Orge 1 place Monge 91600 Savigny-sur-Orge,84.0,49.0,358.0,13.0,12.1
Lycée Fernand et Nadia Léger,Public,Polyvalent,Argenteuil,3.1,(9),50.0,38.0,6.0,Argenteuil 7 allée Fernand Léger 95100 Argenteuil,73.0,38.0,274.0,6.6,10.6
"Lycée polyvalent Gustave Monod, Lycée des métiers de l'ingénierie industrielle",Public,Polyvalent,Enghien-les-Bains,3.5,(14),48.0,45.0,10.0,Enghien-les-Bains 71 avenue de Ceinture 95880 Enghien-les-Bains,84.0,45.0,584.0,10.8,6.6
Lycée privé Sainte-Ursule,Privé,Général,Tours,3.5,(22),21.0,84.0,10.0,Tours 26 rue Emile Zola BP 907 37009 Tours,100.0,84.0,265.0,11.5,11.2
Lycée Saint-Rémy,Privé,Général,Soissons,3.3,(13),34.0,76.0,10.0,Soissons 8 rue Saint-Jean CS 90151 02207 Soissons,98.0,76.0,150.0,8.2,10.0
Lycée Ribeaupierre,Public,Général,Ribeauvillé,4.5,(12),31.0,78.0,9.0,Ribeauvillé 12 rue du Château 68150 Ribeauvillé,99.0,78.0,176.0,10.8,10.1
Lycée Alfred Kastler,Public,Général,Guebwiller,3.7,(9),23.0,72.0,11.0,Guebwiller 5 rue du Luspel BP 40065 68502 Guebwiller,98.0,72.0,232.0,11.5,12.5
Lycée Paul Emile Victor,Public,Polyvalent,Osny,2.9,(26),38.0,54.0,7.0,Osny 116 rue de Livilliers 95520 Osny,89.0,54.0,176.0,12.9,12.6
Lycée La Salle-Saint Rosaire,Privé,Général,Sarcelles,2.7,(25),37.0,76.0,9.0,Sarcelles 53 rue Pierre Brossolette 95200 Sarcelles,98.0,76.0,184.0,13.0,9.2
Lycée Jeanne d'Arc,Privé,Général,Brétigny-sur-Orge,3.2,(2),29.0,73.0,6.0,Brétigny-sur-Orge 31 rue Alfred Leblanc 91220 Brétigny-sur-Orge,100.0,73.0,63.0,10.9,13.5
Lycée Marguerite Yourcenar,Public,Polyvalent,Morangis,3.8,(13),27.0,49.0,7.0,Morangis 62 rue des Edouets BP 86 91423 Morangis,82.0,49.0,269.0,13.7,9.4
Lycée Jean Jaurès,Public,Polyvalent,Argenteuil,3.2,(25),35.0,34.0,8.0,Argenteuil 25 rue Charles Lecocq 95100 Argenteuil,80.0,34.0,348.0,12.2,13.3
Lycée polyvalent Saint Léon,Privé,Polyvalent,Corbeil-Essonnes,3.2,(35),24.0,72.0,8.0,Corbeil-Essonnes 8 quai de l'Essonne 91100 Corbeil-Essonnes,99.0,72.0,262.0,14.2,14.0
Lycée Louis Jouvet,Public,Polyvalent,Taverny,2.5,(25),32.0,46.0,10.0,Taverny 26 rue de Saint-Prix 95150 Taverny,85.0,46.0,492.0,8.4,13.8
Lycée Edmond Rostand,Public,Polyvalent,Saint-Ouen-l'Aumône,2.8,(11),29.0,43.0,7.0,Saint-Ouen-l'Aumône 75 rue de Paris 95310 Saint-Ouen-l'Aumône,89.0,43.0,358.0,11.4,14.0
Lycée Charles Baudelaire,Public,Polyvalent,Fosses,3.2,(16),30.0,51.0,8.0,Fosses 13 rue du Grand Tremblay BP 37 95470 Fosses,89.0,51.0,321.0,14.0,13.7
Lycée Camille Pissarro,Public,Polyvalent,Pontoise,3.6,(16),28.0,52.0,8.0,Pontoise 1 rue Henri Matisse 95300 Pontoise,90.0,52.0,535.0,12.1,14.1
Lycée polyvalent Jules Verne,Public,Polyvalent,Château-Thierry,3.0,(19),25.0,57.0,8.0,Château-Thierry 23 rue des Chesneaux BP 178 02405 Château-Thierry,87.0,57.0,179.0,11.9,10.0
Lycée de l'Hautil,Public,Polyvalent,Jouy-le-Moutier,2.5,(24),26.0,51.0,10.0,Jouy-le-Moutier 1 rue Gabriel Fauré 95280 Jouy-le-Moutier,87.0,51.0,267.0,14.2,12.7
Lycée Louis Armand,Public,Polyvalent,Eaubonne,3.8,(13),25.0,63.0,9.0,Eaubonne 32 rue Stéphane Proust 95600 Eaubonne,94.0,63.0,348.0,14.3,13.8
Lycée polyvalent privé Notre Dame de La Compassion,Privé,Polyvalent,Pontoise,3.4,(40),23.0,83.0,8.0,Pontoise 8 place Nicolas-Flamel 95000 Pontoise,99.0,83.0,248.0,14.4,14.0
Lycée Simone de Beauvoir,Public,Général,Garges-lès-Gonesse,2.6,(18),22.0,47.0,10.0,Garges-lès-Gonesse 171 avenue de Stalingrad BP 215 95140 Garges-lès-Gonesse,88.0,47.0,377.0,12.1,14.4
Lycée Désiré Nisard,Public,Polyvalent,Châtillon-sur-Seine,3.4,(12),11.0,50.0,9.0,Châtillon-sur-Seine 19 rue de Seine BP 61 21402 Châtillon-sur-Seine,97.0,50.0,102.0,13.2,10.4
Lycée Nikola Tesla,Public,Polyvalent,Dourdan,3.3,(4),23.0,60.0,9.0,Dourdan 15-21 Chemin du Champ de Courses 91410 Dourdan,91.0,60.0,626.0,14.2,11.1
Lycée Heinrich Nessel,Public,Polyvalent,Haguenau,3.3,(11),16.0,59.0,9.0,Haguenau 123 route de Strasbourg BP 50235 67504 Haguenau,89.0,59.0,314.0,14.0,8.6
Lycée polyvalent René Cassin,Public,Polyvalent,Strasbourg,2.5,(1),15.0,41.0,6.0,Strasbourg 4 rue Schoch BP 67 67046 Strasbourg,77.0,41.0,236.0,14.0,7.6
Lycée de la Tourelle,Public,Polyvalent,Sarcelles,3.2,(20),33.0,34.0,8.0,Sarcelles 8 rue Fernand Léger 95200 Sarcelles,79.0,34.0,410.0,13.5,12.8
Lycée polyvalent Le Corbusier,Public,Polyvalent,Illkirch-Graffenstaden,3.4,(13),14.0,53.0,8.0,Illkirch-Graffenstaden 15 rue Lixenbuhl BP 10133 67404 Illkirch-Graffenstaden,86.0,53.0,268.0,14.2,7.2
Lycée polyvalent Raphaël Elizé,Public,Polyvalent,Sablé-sur-Sarthe,3.9,(7),13.0,55.0,11.0,Sablé-sur-Sarthe 26 rue Saint-Denis BP 149 72305 Sablé-sur-Sarthe,91.0,55.0,304.0,11.5,12.1
Lycée Jules Verne,Public,Polyvalent,Cergy,3.4,(22),24.0,57.0,9.0,Cergy 1 rue Michel Strogoff 95800 Cergy,91.0,57.0,356.0,14.3,7.0
Lycée privé Saint-Coeur,Privé,Général,Beaune,3.4,(14),9.0,82.0,6.0,Beaune 3 rue du Faubourg Saint-Nicolas 21201 Beaune,99.0,82.0,69.0,11.5,14.1
Lycée Louis Davier,Public,Polyvalent,Joigny,3.2,(18),14.0,41.0,11.0,Joigny Avenue Molière BP 247 89306 Joigny,84.0,41.0,432.0,10.4,7.1
Lycée George Sand,Public,Polyvalent,Domont,2.9,(28),18.0,54.0,9.0,Domont Avenue du Lycée BP 22 95330 Domont,90.0,54.0,479.0,11.0,14.8
Lycée Camille Saint-Saëns,Public,Général,Deuil-la-Barre,3.4,(22),15.0,47.0,8.0,Deuil-la-Barre 18 à 22 rue Guynemer BP 92 95170 Deuil-la-Barre,86.0,47.0,419.0,12.5,15.3
Lycée Alfred Kastler,Public,Polyvalent,Talence,3.2,(10),15.0,49.0,10.0,Talence 14 avenue de l'Université BP 73 33402 Talence,92.0,49.0,314.0,7.0,13.8
Lycée polyvalent Amélie Zurcher,Public,Polyvalent,Wittelsheim,3.9,(5),16.0,55.0,7.0,Wittelsheim 30 rue Jean Mermoz BP 4 68310 Wittelsheim,88.0,55.0,184.0,11.2,13.9
Lycée René Cassin,Public,Général,Montfort-sur-Meu,3.4,(23),20.0,67.0,8.0,Montfort-sur-Meu 2 les batailles BP 86228 35162 Montfort-sur-Meu,97.0,67.0,321.0,14.4,11.4
Lycée polyvalent Jean de La Fontaine,Public,Polyvalent,Château-Thierry,2.9,(17),19.0,51.0,10.0,Château-Thierry 2 rue de Mosbach BP 70159 02404 Château-Thierry,86.0,51.0,380.0,13.6,6.2
Lycée polyvalent Saint-Charles-Sainte-Croix,Privé,Polyvalent,Le Mans,4.5,(3),14.0,51.0,11.0,Le Mans 25 rue Antoine de Saint Exupéry 72000 Le Mans,93.0,51.0,292.0,11.8,8.5
Lycée polyvalent Vauban,Public,Polyvalent,Aire-sur-la-Lys,3.1,(20),15.0,72.0,10.0,Aire-sur-la-Lys 1 rue de Bretagne 62120 Aire-sur-la-Lys,96.0,72.0,296.0,14.9,12.2
Lycée polyvalent Théodore Deck,Public,Polyvalent,Guebwiller,4.3,(6),19.0,62.0,10.0,Guebwiller 5 rue des Chanoines BP 190 68504 Guebwiller,93.0,62.0,278.0,11.9,13.5
Lycée polyvalent La Salle,Privé,Polyvalent,Avignon,3.6,(9),5.0,58.0,4.0,Avignon 9 rue Notre-Dame des 7 Douleurs BP 165 84008 Avignon,96.0,58.0,128.0,11.9,15.8
Lycée polyvalent René Char,Public,Polyvalent,Avignon,3.1,(17),7.0,60.0,9.0,Avignon 2 rue Pierre Auguste Renoir BP 696 84033 Avignon,93.0,60.0,371.0,14.0,15.0
Lycée polyvalent Saint Paul,Privé,Polyvalent,Charleville-Mézières,2.3,(9),5.0,70.0,10.0,Charleville-Mézières 6 place Winston Churchill 08000 Charleville-Mézières,99.0,70.0,170.0,13.7,14.9
Lycée polyvalent Masaryk,Public,Général,Vouziers,3.2,(14),4.0,59.0,9.0,Vouziers 35 rue Bournizet BP 52 08400 Vouziers,94.0,59.0,75.0,14.9,12.3
Lycée privé Saint-Bénigne,Privé,Polyvalent,Dijon,3.1,(12),8.0,59.0,8.0,Dijon 99 rue de Talant 21000 Dijon,97.0,59.0,259.0,14.3,11.6
Lycée Saint-Magloire,Privé,Général,Dol-de-Bretagne,3.9,(10),25.0,64.0,9.0,Dol-de-Bretagne 2 rue du Chanoine Boursier BP 70 35120 Dol-de-Bretagne,100.0,64.0,107.0,12.5,13.6
